grid,percentages,land_use
916,0.96,agriculture
1015,0.74,agriculture
1016,2.66,agriculture
1017,1.02,agriculture
1018,2.53,agriculture
1019,1.45,agriculture
1115,2.8,agriculture
1116,17.43,agriculture
1117,28.15,agriculture
1118,83.63,agriculture
1119,72.8,agriculture
1120,65.82,agriculture
1121,24.23,agriculture
1122,6.52,agriculture
1123,24.38,agriculture
1124,4.17,agriculture
1216,24.96,agriculture
1217,24.95,agriculture
1218,71.35,agriculture
1219,76.26,agriculture
1220,83.18,agriculture
1221,79.77,agriculture
1222,52.5,agriculture
1223,84.23,agriculture
1224,79.39,agriculture
1225,51.75,agriculture
1226,0.25,agriculture
1315,0.38,agriculture
1316,9.54,agriculture
1317,11.58,agriculture
1318,18.61,agriculture
1319,82.32,agriculture
1320,86.17,agriculture
1321,84.53,agriculture
1322,74.38,agriculture
1323,81.06,agriculture
1324,82.41,agriculture
1325,71.05,agriculture
1326,9.31,agriculture
1344,0.34,agriculture
1345,24.16,agriculture
1346,24.88,agriculture
1417,20.61,agriculture
1418,11.98,agriculture
1419,57.35,agriculture
1420,81.88,agriculture
1421,85.94,agriculture
1422,77.32,agriculture
1423,56.3,agriculture
1424,67.89,agriculture
1425,80.26,agriculture
1426,6.03,agriculture
1432,16.81,agriculture
1433,2.98,agriculture
1444,7.56,agriculture
1445,51.77,agriculture
1446,18.57,agriculture
1447,41.9,agriculture
1517,3.05,agriculture
1518,10.84,agriculture
1519,51.04,agriculture
1520,77.31,agriculture
1521,79.09,agriculture
1522,87.95,agriculture
1523,66.01,agriculture
1524,66.56,agriculture
1525,47.42,agriculture
1526,59.92,agriculture
1527,13.5,agriculture
1528,11.73,agriculture
1532,57.56,agriculture
1533,48.09,agriculture
1540,0.3,agriculture
1541,14.23,agriculture
1542,11.88,agriculture
1543,17.57,agriculture
1544,12.76,agriculture
1545,61.33,agriculture
1546,61.28,agriculture
1547,9.77,agriculture
1617,14.72,agriculture
1618,91.58,agriculture
1619,89.7,agriculture
1620,86.2,agriculture
1621,78.1,agriculture
1622,81.03,agriculture
1623,57.27,agriculture
1624,62.81,agriculture
1625,73.09,agriculture
1626,38.67,agriculture
1627,52.76,agriculture
1628,69.6,agriculture
1629,42.31,agriculture
1630,5.45,agriculture
1631,52.81,agriculture
1632,31.06,agriculture
1640,16.48,agriculture
1641,41.83,agriculture
1642,58.55,agriculture
1643,73.77,agriculture
1644,39.49,agriculture
1645,75.71,agriculture
1646,58.44,agriculture
1647,34.22,agriculture
1648,10.95,agriculture
1717,1.01,agriculture
1718,14.35,agriculture
1719,75.34,agriculture
1720,79.48,agriculture
1721,79.37,agriculture
1722,81.93,agriculture
1723,74.07,agriculture
1724,69.93,agriculture
1725,59.55,agriculture
1726,62.34,agriculture
1727,54.56,agriculture
1728,68.4,agriculture
1729,73.02,agriculture
1730,74.23,agriculture
1731,79.04,agriculture
1732,40.37,agriculture
1738,0.08,agriculture
1739,7.63,agriculture
1740,49.46,agriculture
1741,77.68,agriculture
1742,68.45,agriculture
1743,63.22,agriculture
1744,60.61,agriculture
1745,57.55,agriculture
1746,23.99,agriculture
1747,0.72,agriculture
1748,2.61,agriculture
1818,5.56,agriculture
1819,64.1,agriculture
1820,82.58,agriculture
1821,69.71,agriculture
1822,75.16,agriculture
1823,73.64,agriculture
1824,70.67,agriculture
1825,66.93,agriculture
1826,73.86,agriculture
1827,78.54,agriculture
1828,41.51,agriculture
1829,52.54,agriculture
1830,66.24,agriculture
1831,61.49,agriculture
1832,6.76,agriculture
1835,6.72,agriculture
1836,34.23,agriculture
1837,38.63,agriculture
1838,25.91,agriculture
1839,63.55,agriculture
1840,57.46,agriculture
1841,72.51,agriculture
1842,78.01,agriculture
1843,66.94,agriculture
1844,70.85,agriculture
1845,74.51,agriculture
1846,32.11,agriculture
1847,25.96,agriculture
1848,25.58,agriculture
1849,0.39,agriculture
1918,0.81,agriculture
1919,36.23,agriculture
1920,81.57,agriculture
1921,75.83,agriculture
1922,76.79,agriculture
1923,70.94,agriculture
1924,62.76,agriculture
1925,62.58,agriculture
1926,65.14,agriculture
1927,57.07,agriculture
1928,73.09,agriculture
1929,80.64,agriculture
1930,37.75,agriculture
1931,2.13,agriculture
1932,6.81,agriculture
1933,1.75,agriculture
1934,9.08,agriculture
1935,43.2,agriculture
1936,78.04,agriculture
1937,75.88,agriculture
1938,62.49,agriculture
1939,75.24,agriculture
1940,65.65,agriculture
1941,74.25,agriculture
1942,64.88,agriculture
1943,81.6,agriculture
1944,84.3,agriculture
1945,88.4,agriculture
1946,57.6,agriculture
1947,62.6,agriculture
1948,57.89,agriculture
1949,23.98,agriculture
1950,3.81,agriculture
2016,1.09,agriculture
2017,1.17,agriculture
2019,56.74,agriculture
2020,82.84,agriculture
2021,76.62,agriculture
2022,78.09,agriculture
2023,63.07,agriculture
2024,74.44,agriculture
2025,75.13,agriculture
2026,38.07,agriculture
2027,57.1,agriculture
2028,78.87,agriculture
2029,80.57,agriculture
2030,45.94,agriculture
2031,39.89,agriculture
2032,82.38,agriculture
2033,51.44,agriculture
2034,36.51,agriculture
2035,80.07,agriculture
2036,75.89,agriculture
2037,87.03,agriculture
2038,74.26,agriculture
2039,69.74,agriculture
2040,74.09,agriculture
2041,81.35,agriculture
2042,77.83,agriculture
2043,67.9,agriculture
2044,62.53,agriculture
2045,75,agriculture
2046,79.84,agriculture
2047,81.19,agriculture
2048,67,agriculture
2049,37.75,agriculture
2050,36.51,agriculture
2051,0.55,agriculture
2117,24.12,agriculture
2118,35.67,agriculture
2119,28.93,agriculture
2120,54.37,agriculture
2121,66.86,agriculture
2122,72.64,agriculture
2123,75.89,agriculture
2124,73.62,agriculture
2125,58.91,agriculture
2126,80.12,agriculture
2127,77.74,agriculture
2128,72.86,agriculture
2129,61.66,agriculture
2130,30.07,agriculture
2131,73.4,agriculture
2132,79.99,agriculture
2133,73.64,agriculture
2134,71.98,agriculture
2135,74.37,agriculture
2136,56.33,agriculture
2137,62.43,agriculture
2138,77.07,agriculture
2139,77.37,agriculture
2140,77.05,agriculture
2141,82.66,agriculture
2142,76.22,agriculture
2143,56.61,agriculture
2144,78.67,agriculture
2145,83.41,agriculture
2146,84.9,agriculture
2147,82.54,agriculture
2148,52.12,agriculture
2149,27.48,agriculture
2150,20.04,agriculture
2151,2.96,agriculture
2208,0.14,agriculture
2209,5.22,agriculture
2210,3.79,agriculture
2211,3.8,agriculture
2212,7.58,agriculture
2213,16.63,agriculture
2214,3.67,agriculture
2215,0.13,agriculture
2216,0.65,agriculture
2217,67.04,agriculture
2218,80.76,agriculture
2219,90.46,agriculture
2220,76.41,agriculture
2221,86.88,agriculture
2222,54.63,agriculture
2223,79.17,agriculture
2224,66.73,agriculture
2225,55.83,agriculture
2226,61.09,agriculture
2227,68.14,agriculture
2228,79.47,agriculture
2229,74.74,agriculture
2230,62.34,agriculture
2231,75.07,agriculture
2232,81.03,agriculture
2233,83.15,agriculture
2234,53.18,agriculture
2235,67.8,agriculture
2236,50.08,agriculture
2237,63.42,agriculture
2238,74.13,agriculture
2239,47.33,agriculture
2240,70.97,agriculture
2241,67.6,agriculture
2242,65.56,agriculture
2243,64.34,agriculture
2244,85.47,agriculture
2245,78.04,agriculture
2246,78.4,agriculture
2247,74.28,agriculture
2248,79.68,agriculture
2249,31.61,agriculture
2250,21.26,agriculture
2251,5.6,agriculture
2306,1.81,agriculture
2307,4.95,agriculture
2308,2.87,agriculture
2309,50.23,agriculture
2310,73.39,agriculture
2311,67.17,agriculture
2312,92.3,agriculture
2313,92.69,agriculture
2314,21.55,agriculture
2315,4.57,agriculture
2316,5.48,agriculture
2317,77.04,agriculture
2318,66.26,agriculture
2319,79.78,agriculture
2320,74.41,agriculture
2321,76.62,agriculture
2322,77.73,agriculture
2323,56.7,agriculture
2324,52.88,agriculture
2325,37.18,agriculture
2326,14.15,agriculture
2327,51.04,agriculture
2328,53.72,agriculture
2329,68.62,agriculture
2330,44.23,agriculture
2331,58.85,agriculture
2332,77.74,agriculture
2333,72.72,agriculture
2334,32.85,agriculture
2335,51.1,agriculture
2336,44.88,agriculture
2337,63.47,agriculture
2338,48.96,agriculture
2339,40.83,agriculture
2340,51.61,agriculture
2341,63.61,agriculture
2342,72.79,agriculture
2343,75.5,agriculture
2344,80.93,agriculture
2345,77.66,agriculture
2346,79.25,agriculture
2347,75.51,agriculture
2348,68.18,agriculture
2349,48.35,agriculture
2350,17.72,agriculture
2351,12.89,agriculture
2405,0,agriculture
2406,7.48,agriculture
2408,37.85,agriculture
2409,74.43,agriculture
2410,68.32,agriculture
2411,75.85,agriculture
2412,76.8,agriculture
2413,69.16,agriculture
2414,40.37,agriculture
2415,41.82,agriculture
2416,61.46,agriculture
2417,24.2,agriculture
2418,77.69,agriculture
2419,66.48,agriculture
2420,81.35,agriculture
2421,73.42,agriculture
2422,67.82,agriculture
2423,64.58,agriculture
2424,43.46,agriculture
2425,7.72,agriculture
2426,7.9,agriculture
2427,44.02,agriculture
2428,44.16,agriculture
2429,65.6,agriculture
2430,42.67,agriculture
2431,61.9,agriculture
2432,73.57,agriculture
2433,74.38,agriculture
2434,47.28,agriculture
2435,53.37,agriculture
2436,75.12,agriculture
2437,79.08,agriculture
2438,72.13,agriculture
2439,37.49,agriculture
2440,21.65,agriculture
2441,49.75,agriculture
2442,60.99,agriculture
2443,76.13,agriculture
2444,78.8,agriculture
2445,37.99,agriculture
2446,73.3,agriculture
2447,82.27,agriculture
2448,71.19,agriculture
2449,62.51,agriculture
2450,48.06,agriculture
2451,47.4,agriculture
2452,0.01,agriculture
2508,79.9,agriculture
2509,83.34,agriculture
2510,71.51,agriculture
2511,73.67,agriculture
2512,64.82,agriculture
2513,79.07,agriculture
2514,57.87,agriculture
2515,21.36,agriculture
2516,73.96,agriculture
2517,71.41,agriculture
2518,73.88,agriculture
2519,72.63,agriculture
2520,70.09,agriculture
2521,69.38,agriculture
2522,76.54,agriculture
2523,71.63,agriculture
2524,59.95,agriculture
2525,21.45,agriculture
2526,57.94,agriculture
2527,57.82,agriculture
2528,55.75,agriculture
2529,71.24,agriculture
2530,56.15,agriculture
2531,63,agriculture
2532,71.05,agriculture
2533,52.83,agriculture
2534,58.01,agriculture
2535,67.33,agriculture
2536,65.18,agriculture
2537,68.26,agriculture
2538,72.4,agriculture
2539,49.98,agriculture
2540,44.78,agriculture
2541,44.45,agriculture
2542,11.89,agriculture
2543,29.02,agriculture
2544,56.48,agriculture
2545,63.06,agriculture
2546,78.55,agriculture
2547,72.15,agriculture
2548,86.05,agriculture
2549,87.32,agriculture
2550,75.7,agriculture
2551,63.94,agriculture
2552,10.11,agriculture
2607,0.06,agriculture
2608,46.99,agriculture
2609,54.73,agriculture
2610,81.94,agriculture
2611,78.33,agriculture
2612,78.77,agriculture
2613,68.52,agriculture
2614,69.36,agriculture
2615,84.94,agriculture
2616,77.37,agriculture
2617,70.32,agriculture
2618,64,agriculture
2619,66.73,agriculture
2620,72.1,agriculture
2621,70.67,agriculture
2622,80.08,agriculture
2623,66.28,agriculture
2624,56.6,agriculture
2625,40.49,agriculture
2626,58.05,agriculture
2627,63,agriculture
2628,66.73,agriculture
2629,72.04,agriculture
2630,73.36,agriculture
2631,75.8,agriculture
2632,63.94,agriculture
2633,57.03,agriculture
2634,56.47,agriculture
2635,29.8,agriculture
2636,65.67,agriculture
2637,61.76,agriculture
2638,60.12,agriculture
2639,64.65,agriculture
2640,71.46,agriculture
2641,78.82,agriculture
2642,32.39,agriculture
2643,26.72,agriculture
2644,23.29,agriculture
2645,41.24,agriculture
2646,54.05,agriculture
2647,65.21,agriculture
2648,87.61,agriculture
2649,79.16,agriculture
2650,86.38,agriculture
2651,85.84,agriculture
2652,32.9,agriculture
2709,62.25,agriculture
2710,68.69,agriculture
2711,80.53,agriculture
2712,79.79,agriculture
2713,67.73,agriculture
2714,66.88,agriculture
2715,72.37,agriculture
2716,80.19,agriculture
2717,58.1,agriculture
2718,60.98,agriculture
2719,75.64,agriculture
2720,73.26,agriculture
2721,67.77,agriculture
2722,77.39,agriculture
2723,61.45,agriculture
2724,55.11,agriculture
2725,24.97,agriculture
2726,52.28,agriculture
2727,51.9,agriculture
2728,34.62,agriculture
2729,53.2,agriculture
2730,48.94,agriculture
2731,56.26,agriculture
2732,47.99,agriculture
2733,42.1,agriculture
2734,67.32,agriculture
2735,51.32,agriculture
2736,82.62,agriculture
2737,74.79,agriculture
2738,79.88,agriculture
2739,80.39,agriculture
2740,68.39,agriculture
2741,40.14,agriculture
2742,42.94,agriculture
2743,27.98,agriculture
2744,19.69,agriculture
2745,22.97,agriculture
2746,22.41,agriculture
2747,53.89,agriculture
2748,59.44,agriculture
2749,72.01,agriculture
2750,80.3,agriculture
2751,86.26,agriculture
2752,41.08,agriculture
2809,65.22,agriculture
2810,73.66,agriculture
2811,72.95,agriculture
2812,75.24,agriculture
2813,74.13,agriculture
2814,60.3,agriculture
2815,42.79,agriculture
2816,80.09,agriculture
2817,62.44,agriculture
2818,44.59,agriculture
2819,71.92,agriculture
2820,79.2,agriculture
2821,74.68,agriculture
2822,60.76,agriculture
2823,71.45,agriculture
2824,59.8,agriculture
2825,15.28,agriculture
2826,41.53,agriculture
2827,53.67,agriculture
2828,45.93,agriculture
2829,60.19,agriculture
2830,47.34,agriculture
2831,32.86,agriculture
2832,64.45,agriculture
2833,58.4,agriculture
2834,46.47,agriculture
2835,56.74,agriculture
2836,77.2,agriculture
2837,69.58,agriculture
2838,76.85,agriculture
2839,71.27,agriculture
2840,66.74,agriculture
2841,42.73,agriculture
2842,22.16,agriculture
2843,8.62,agriculture
2844,8.69,agriculture
2845,14.44,agriculture
2846,27.65,agriculture
2847,41.72,agriculture
2848,69.96,agriculture
2849,61.31,agriculture
2850,83.83,agriculture
2851,58.41,agriculture
2852,12.36,agriculture
2909,60.93,agriculture
2910,56.25,agriculture
2911,47.44,agriculture
2912,71.15,agriculture
2913,67.5,agriculture
2914,72.47,agriculture
2915,60.95,agriculture
2916,69.54,agriculture
2917,54.41,agriculture
2918,41.22,agriculture
2919,37.86,agriculture
2920,67.44,agriculture
2921,59.94,agriculture
2922,58.1,agriculture
2923,69.56,agriculture
2924,61.06,agriculture
2925,36.56,agriculture
2926,14.36,agriculture
2927,37.58,agriculture
2928,65.96,agriculture
2929,66.5,agriculture
2930,62.27,agriculture
2931,37.49,agriculture
2932,71.68,agriculture
2933,48.91,agriculture
2934,49.82,agriculture
2935,56.46,agriculture
2936,53.89,agriculture
2937,52.36,agriculture
2938,76.36,agriculture
2939,63.06,agriculture
2940,57.05,agriculture
2941,26.66,agriculture
2942,14.06,agriculture
2943,28.96,agriculture
2944,69.61,agriculture
2945,50.09,agriculture
2946,26.04,agriculture
2947,14.52,agriculture
2948,28.59,agriculture
2949,46.17,agriculture
2950,73.2,agriculture
2951,49.34,agriculture
2952,3.42,agriculture
3008,1.84,agriculture
3009,68.08,agriculture
3010,76.18,agriculture
3011,65.98,agriculture
3012,65.27,agriculture
3013,59.52,agriculture
3014,71.15,agriculture
3015,64.26,agriculture
3016,61.31,agriculture
3017,64.68,agriculture
3018,64.79,agriculture
3019,77.23,agriculture
3020,81.59,agriculture
3021,61.59,agriculture
3022,58,agriculture
3023,54.48,agriculture
3024,47.06,agriculture
3025,31.16,agriculture
3026,15.49,agriculture
3027,18.67,agriculture
3028,60.41,agriculture
3029,59.35,agriculture
3030,74.28,agriculture
3031,55.84,agriculture
3032,72.78,agriculture
3033,75.49,agriculture
3034,35.76,agriculture
3035,60.21,agriculture
3036,71.49,agriculture
3037,58.51,agriculture
3038,60.72,agriculture
3039,79.19,agriculture
3040,64.94,agriculture
3041,60.77,agriculture
3042,47.27,agriculture
3043,37.55,agriculture
3044,64.93,agriculture
3045,79.12,agriculture
3046,39.34,agriculture
3047,6.31,agriculture
3048,22.78,agriculture
3049,45.17,agriculture
3050,62.07,agriculture
3051,2.97,agriculture
3108,33.39,agriculture
3109,64.54,agriculture
3110,52.6,agriculture
3111,58.24,agriculture
3112,75.43,agriculture
3113,71.56,agriculture
3114,61.87,agriculture
3115,60.06,agriculture
3116,70.12,agriculture
3117,73.78,agriculture
3118,74.93,agriculture
3119,79.39,agriculture
3120,80.58,agriculture
3121,71.54,agriculture
3122,68.03,agriculture
3123,52.44,agriculture
3124,25.46,agriculture
3125,39.1,agriculture
3126,46.64,agriculture
3127,9.35,agriculture
3128,15.31,agriculture
3129,40.83,agriculture
3130,60.17,agriculture
3131,77.35,agriculture
3132,57.24,agriculture
3133,68.34,agriculture
3134,73.88,agriculture
3135,64.12,agriculture
3136,64.98,agriculture
3137,83.42,agriculture
3138,45.94,agriculture
3139,69.87,agriculture
3140,71.53,agriculture
3141,84.22,agriculture
3142,87.19,agriculture
3143,73.78,agriculture
3144,23.36,agriculture
3145,58.61,agriculture
3146,47.14,agriculture
3147,28.48,agriculture
3148,23.44,agriculture
3149,33.21,agriculture
3150,36.6,agriculture
3151,5.47,agriculture
3208,46.06,agriculture
3209,46.7,agriculture
3210,57.57,agriculture
3211,72.12,agriculture
3212,74.94,agriculture
3213,74.2,agriculture
3214,80.64,agriculture
3215,67.72,agriculture
3216,59.19,agriculture
3217,74.05,agriculture
3218,81.58,agriculture
3219,79.29,agriculture
3220,78.84,agriculture
3221,67.5,agriculture
3222,64.72,agriculture
3223,51,agriculture
3224,26.96,agriculture
3225,26.72,agriculture
3226,26.42,agriculture
3227,33.62,agriculture
3228,20.69,agriculture
3229,57.75,agriculture
3230,68.53,agriculture
3231,67.18,agriculture
3232,72.55,agriculture
3233,75.38,agriculture
3234,72.18,agriculture
3235,83.13,agriculture
3236,78.56,agriculture
3237,84.2,agriculture
3238,60,agriculture
3239,78.56,agriculture
3240,66.29,agriculture
3241,64.39,agriculture
3242,81.37,agriculture
3243,74.89,agriculture
3244,51.56,agriculture
3245,18.04,agriculture
3246,35.31,agriculture
3247,18.37,agriculture
3248,42.53,agriculture
3249,50.9,agriculture
3250,54.27,agriculture
3251,76.98,agriculture
3252,13.36,agriculture
3306,26.49,agriculture
3307,34.69,agriculture
3308,49,agriculture
3309,58.24,agriculture
3310,59.56,agriculture
3311,74.79,agriculture
3312,66.23,agriculture
3313,74.54,agriculture
3314,77.2,agriculture
3315,60.23,agriculture
3316,72.01,agriculture
3317,69.48,agriculture
3318,79.57,agriculture
3319,72.92,agriculture
3320,59.14,agriculture
3321,48.56,agriculture
3322,64.46,agriculture
3323,73.69,agriculture
3324,35.56,agriculture
3325,24.46,agriculture
3326,35.75,agriculture
3327,54.74,agriculture
3328,62.05,agriculture
3329,56.37,agriculture
3330,37.15,agriculture
3331,56.53,agriculture
3332,63.34,agriculture
3333,54.93,agriculture
3334,82.51,agriculture
3335,76.05,agriculture
3336,78.41,agriculture
3337,67.29,agriculture
3338,38.17,agriculture
3339,43.94,agriculture
3340,38.37,agriculture
3341,75.4,agriculture
3342,80.28,agriculture
3343,62.59,agriculture
3344,42.32,agriculture
3345,11.9,agriculture
3346,30.63,agriculture
3347,52.31,agriculture
3348,69.14,agriculture
3349,20.24,agriculture
3350,75.1,agriculture
3351,76.32,agriculture
3352,75.05,agriculture
3353,13.81,agriculture
3406,50.23,agriculture
3407,75.81,agriculture
3408,71.09,agriculture
3409,47.32,agriculture
3410,68.76,agriculture
3411,69.7,agriculture
3412,55.94,agriculture
3413,71.15,agriculture
3414,63.19,agriculture
3415,60.52,agriculture
3416,76.96,agriculture
3417,70.41,agriculture
3418,71.92,agriculture
3419,72.98,agriculture
3420,64.47,agriculture
3421,56.46,agriculture
3422,50.94,agriculture
3423,61.09,agriculture
3424,53.07,agriculture
3425,48.82,agriculture
3426,56.22,agriculture
3427,71.24,agriculture
3428,54.69,agriculture
3429,48.15,agriculture
3430,40.2,agriculture
3431,61.1,agriculture
3432,84.23,agriculture
3433,35.36,agriculture
3434,55.1,agriculture
3435,40.77,agriculture
3436,83.37,agriculture
3437,73.2,agriculture
3438,72.01,agriculture
3439,48.07,agriculture
3440,34.07,agriculture
3441,61.01,agriculture
3442,64.62,agriculture
3443,70.29,agriculture
3444,19.43,agriculture
3445,0.93,agriculture
3446,3.57,agriculture
3447,26.18,agriculture
3448,42.21,agriculture
3449,42.41,agriculture
3450,40.74,agriculture
3451,56.35,agriculture
3452,84.83,agriculture
3453,54.74,agriculture
3506,22.09,agriculture
3507,34.46,agriculture
3508,57.28,agriculture
3509,42.94,agriculture
3510,64.8,agriculture
3511,81.89,agriculture
3512,84.81,agriculture
3513,59.39,agriculture
3514,68.49,agriculture
3515,80.5,agriculture
3516,73.61,agriculture
3517,80.69,agriculture
3518,77.03,agriculture
3519,81.58,agriculture
3520,69.23,agriculture
3521,53.39,agriculture
3522,47.02,agriculture
3523,55.15,agriculture
3524,34.63,agriculture
3525,49.85,agriculture
3526,59.35,agriculture
3527,72.93,agriculture
3528,50.94,agriculture
3529,50.24,agriculture
3530,40.75,agriculture
3531,59.93,agriculture
3532,80.01,agriculture
3533,74.05,agriculture
3534,35.54,agriculture
3535,8.26,agriculture
3536,50.37,agriculture
3537,44.04,agriculture
3538,43.73,agriculture
3539,53.45,agriculture
3540,42.51,agriculture
3541,46.93,agriculture
3542,65.87,agriculture
3543,57.68,agriculture
3544,14.67,agriculture
3545,1.72,agriculture
3546,4.5,agriculture
3547,2.17,agriculture
3548,13.89,agriculture
3549,21.5,agriculture
3550,66.47,agriculture
3551,68.92,agriculture
3552,75.39,agriculture
3553,38.57,agriculture
3608,41.82,agriculture
3609,61.38,agriculture
3610,58.07,agriculture
3611,76.08,agriculture
3612,70.69,agriculture
3613,58.37,agriculture
3614,47.59,agriculture
3615,61.13,agriculture
3616,74.19,agriculture
3617,67.47,agriculture
3618,68.26,agriculture
3619,61.32,agriculture
3620,59.32,agriculture
3621,68.94,agriculture
3622,66,agriculture
3623,68.6,agriculture
3624,13.83,agriculture
3625,49.39,agriculture
3626,72.31,agriculture
3627,62.93,agriculture
3628,66.63,agriculture
3629,56.59,agriculture
3630,53.11,agriculture
3631,67.41,agriculture
3632,74.24,agriculture
3633,42.27,agriculture
3634,40.24,agriculture
3635,18.21,agriculture
3636,50.5,agriculture
3637,61.67,agriculture
3638,54.24,agriculture
3639,70.89,agriculture
3640,37.12,agriculture
3641,45.08,agriculture
3642,46.64,agriculture
3643,25.68,agriculture
3644,19.97,agriculture
3645,43.41,agriculture
3646,49.52,agriculture
3647,28.69,agriculture
3648,14.04,agriculture
3649,18.82,agriculture
3650,21.53,agriculture
3651,29.57,agriculture
3652,62.85,agriculture
3653,10.11,agriculture
3707,2.3,agriculture
3708,47.1,agriculture
3709,68.8,agriculture
3710,56.6,agriculture
3711,60.96,agriculture
3712,56.59,agriculture
3713,55.52,agriculture
3714,37.21,agriculture
3715,63.82,agriculture
3716,51.75,agriculture
3717,57.95,agriculture
3718,56.57,agriculture
3719,41.9,agriculture
3720,47.4,agriculture
3721,48.41,agriculture
3722,48.31,agriculture
3723,48.54,agriculture
3724,77.26,agriculture
3725,75.7,agriculture
3726,90.26,agriculture
3727,72.16,agriculture
3728,63.48,agriculture
3729,40,agriculture
3730,51.9,agriculture
3731,68.52,agriculture
3732,39.09,agriculture
3733,63.03,agriculture
3734,70.32,agriculture
3735,65.9,agriculture
3736,56.31,agriculture
3737,38.73,agriculture
3738,40.07,agriculture
3739,52.3,agriculture
3740,32.9,agriculture
3741,56.3,agriculture
3742,27.16,agriculture
3743,16.64,agriculture
3744,49.14,agriculture
3745,61.35,agriculture
3746,58.01,agriculture
3747,37.44,agriculture
3748,23.96,agriculture
3749,32.9,agriculture
3750,37.63,agriculture
3751,36.22,agriculture
3752,22.32,agriculture
3753,30.91,agriculture
3754,9.19,agriculture
3806,5.1,agriculture
3807,48.01,agriculture
3808,74.79,agriculture
3809,73.23,agriculture
3810,72.48,agriculture
3811,62.67,agriculture
3812,73.56,agriculture
3813,61.39,agriculture
3814,47.57,agriculture
3815,58.02,agriculture
3816,70.97,agriculture
3817,56.14,agriculture
3818,54.69,agriculture
3819,58.63,agriculture
3820,54.73,agriculture
3821,60.33,agriculture
3822,48.04,agriculture
3823,48.56,agriculture
3824,73.82,agriculture
3825,45.39,agriculture
3826,71.45,agriculture
3827,63.85,agriculture
3828,54.33,agriculture
3829,65.86,agriculture
3830,76.62,agriculture
3831,58.25,agriculture
3832,70.65,agriculture
3833,88.82,agriculture
3834,87.46,agriculture
3835,44.23,agriculture
3836,63.11,agriculture
3837,73.82,agriculture
3838,59.75,agriculture
3839,17.51,agriculture
3840,44.37,agriculture
3841,48.99,agriculture
3842,60.11,agriculture
3843,68.15,agriculture
3844,40.78,agriculture
3845,40.43,agriculture
3846,28.11,agriculture
3847,7.43,agriculture
3848,13.74,agriculture
3849,16.1,agriculture
3850,53,agriculture
3851,61.42,agriculture
3852,27.93,agriculture
3853,25.01,agriculture
3854,5.05,agriculture
3906,42.07,agriculture
3907,66.26,agriculture
3908,67.5,agriculture
3909,74.89,agriculture
3910,79.04,agriculture
3911,71.85,agriculture
3912,68.67,agriculture
3913,74.07,agriculture
3914,70.89,agriculture
3915,74.93,agriculture
3916,49.02,agriculture
3917,37.96,agriculture
3918,60.17,agriculture
3919,57.39,agriculture
3920,63.66,agriculture
3921,52.53,agriculture
3922,58.46,agriculture
3923,63.76,agriculture
3924,64.92,agriculture
3925,47.81,agriculture
3926,63.13,agriculture
3927,58.84,agriculture
3928,65.21,agriculture
3929,76.14,agriculture
3930,86.85,agriculture
3931,93.05,agriculture
3932,92.4,agriculture
3933,74.82,agriculture
3934,88.6,agriculture
3935,72.75,agriculture
3936,50.98,agriculture
3937,82.68,agriculture
3938,75.83,agriculture
3939,38.49,agriculture
3940,14.08,agriculture
3941,47.74,agriculture
3942,56.68,agriculture
3943,28.8,agriculture
3944,22.58,agriculture
3945,24.64,agriculture
3946,33.65,agriculture
3947,17.98,agriculture
3948,15.1,agriculture
3949,54.93,agriculture
3950,53.8,agriculture
3951,41.63,agriculture
3952,20.32,agriculture
3953,40.52,agriculture
3954,28.54,agriculture
4003,0.01,agriculture
4005,1.44,agriculture
4006,16.9,agriculture
4007,70.28,agriculture
4008,68.9,agriculture
4009,72.09,agriculture
4010,72.02,agriculture
4011,38.74,agriculture
4012,60.44,agriculture
4013,65.87,agriculture
4014,73.11,agriculture
4015,68.77,agriculture
4016,55.7,agriculture
4017,29.28,agriculture
4018,35.87,agriculture
4019,56.54,agriculture
4020,55.4,agriculture
4021,47.69,agriculture
4022,58.89,agriculture
4023,49.2,agriculture
4024,29.1,agriculture
4025,50.11,agriculture
4026,62.21,agriculture
4027,41.75,agriculture
4028,53.14,agriculture
4029,69.7,agriculture
4030,80.99,agriculture
4031,79.9,agriculture
4032,83.26,agriculture
4033,89.11,agriculture
4034,87.93,agriculture
4035,88.1,agriculture
4036,83.83,agriculture
4037,66.5,agriculture
4038,78.98,agriculture
4039,53.51,agriculture
4040,38.91,agriculture
4041,38.75,agriculture
4042,55.35,agriculture
4043,76.57,agriculture
4044,76.08,agriculture
4045,59.24,agriculture
4046,40.53,agriculture
4047,55.69,agriculture
4048,59.19,agriculture
4049,45.44,agriculture
4050,41.77,agriculture
4051,16.86,agriculture
4052,3.89,agriculture
4053,28.15,agriculture
4054,11.72,agriculture
4101,7.65,agriculture
4102,43.79,agriculture
4103,46.66,agriculture
4104,39.28,agriculture
4105,57.47,agriculture
4106,69.05,agriculture
4107,58.08,agriculture
4108,68.84,agriculture
4109,64.22,agriculture
4110,73.24,agriculture
4111,58.32,agriculture
4112,77.78,agriculture
4113,82.77,agriculture
4114,66.2,agriculture
4115,59.91,agriculture
4116,65.7,agriculture
4117,65.38,agriculture
4118,23.96,agriculture
4119,35.01,agriculture
4120,72.88,agriculture
4121,58.17,agriculture
4122,43.55,agriculture
4123,44.77,agriculture
